Date,EmpID,Engagement,Satisfaction,WorkLifeBalance,InEmployment
2022-10-10,1001,2,5,5,Yes
2023-08-03,1002,4,5,3,No
2023-01-03,1003,2,5,2,No
2023-07-30,1004,3,5,3,No
2023-06-19,1005,2,4,5,Yes
2023-05-03,1006,5,2,1,No
2023-07-18,1007,2,1,5,No
2023-06-21,1008,5,2,2,No
2023-06-06,1009,2,5,1,No
2022-09-15,1010,2,4,2,No
2022-12-08,1011,1,2,3,Yes
2023-01-13,1012,3,5,4,No
2022-12-13,1013,5,4,3,Yes
2023-06-28,1014,4,4,1,Yes
2023-07-11,1015,1,1,3,Yes
2022-12-09,1016,2,3,2,No
2023-07-16,1017,4,1,3,No
2023-06-21,1018,4,1,4,No
2023-06-21,1019,1,3,5,Yes
2023-08-01,1020,2,1,2,No
2023-03-09,1021,5,1,4,Yes
2023-02-12,1022,1,4,4,Yes
2023-01-17,1023,4,4,3,No
2022-10-12,1024,5,3,1,No
2023-01-24,1025,4,1,4,No
2022-10-09,1026,5,2,5,No
2023-04-05,1027,2,3,5,No
2023-03-26,1028,5,5,4,No
2022-11-07,1029,3,5,4,Yes
2023-01-03,1030,4,4,1,Yes
2023-02-27,1031,5,3,2,Yes
2023-05-22,1032,5,4,4,No
2023-07-02,1033,3,1,3,Yes
2023-07-09,1034,2,5,1,Yes
2023-07-19,1035,1,5,5,Yes
2022-08-09,1036,5,2,1,No
2022-11-25,1037,5,1,4,No
2023-03-10,1038,5,1,2,Yes
2022-12-03,1039,2,4,5,No
2022-09-27,1040,5,3,1,Yes
2023-01-19,1041,3,1,4,No
2023-02-17,1042,1,3,4,Yes
2023-02-25,1043,1,1,3,Yes
2022-11-26,1044,2,4,5,Yes
2022-08-08,1045,1,4,1,Yes
2023-02-18,1046,3,5,4,No
2023-05-12,1047,4,2,3,Yes
2022-10-19,1048,3,1,4,Yes
2023-07-27,1049,3,5,2,No
2023-07-03,1050,4,5,1,Yes
2023-01-01,1051,2,4,5,Yes
2022-11-19,1052,1,4,4,No
2022-10-12,1053,2,1,4,No
2023-07-05,1054,1,5,2,Yes
2022-09-23,1055,3,4,1,Yes
2023-01-17,1056,4,2,2,Yes
2023-03-12,1057,3,2,5,No
2023-03-06,1058,4,2,1,Yes
2023-03-29,1059,4,3,3,No
2023-07-01,1060,5,5,4,No
2023-02-05,1061,3,3,1,Yes
2023-01-03,1062,3,2,1,No
2023-07-25,1063,5,2,4,Yes
2022-12-14,1064,5,4,4,No
2023-01-20,1065,5,3,4,Yes
2023-07-15,1066,4,3,5,No
2023-06-10,1067,3,2,5,Yes
2022-10-09,1068,3,2,2,Yes
2023-02-04,1069,3,1,2,Yes
2023-03-05,1070,3,1,2,No
2023-05-15,1071,1,2,2,No
2023-02-18,1072,2,2,3,Yes
2023-02-16,1073,4,4,2,Yes
2023-02-10,1074,3,4,1,Yes
2023-04-10,1075,1,2,3,Yes
2023-04-11,1076,1,3,1,No
2022-10-12,1077,5,2,4,Yes
2023-07-28,1078,3,3,4,No
2022-10-08,1079,2,2,1,No
2023-03-04,1080,3,1,3,Yes
2023-03-03,1081,1,3,3,No
2023-02-27,1082,1,4,1,Yes
2023-01-09,1083,5,5,3,No
2023-02-19,1084,1,2,4,No
2023-01-09,1085,5,5,3,Yes
2023-03-14,1086,1,1,5,No
2023-05-03,1087,1,5,2,Yes
2023-04-20,1088,4,3,1,No
2023-04-19,1089,3,1,5,No
2023-05-16,1090,4,3,4,Yes
2023-04-22,1091,2,4,3,No
2023-03-08,1092,1,4,1,Yes
2023-03-05,1093,3,1,4,Yes
2023-01-22,1094,5,4,5,No
2023-03-17,1095,1,2,1,No
2022-12-17,1096,1,3,2,No
2022-10-31,1097,1,2,5,No
2022-12-28,1098,2,2,2,Yes
2023-08-04,1099,1,5,5,No
2022-09-10,1100,1,4,5,Yes
2023-03-21,1101,1,1,3,Yes
2023-03-02,1102,5,1,4,Yes
2022-11-06,1103,5,3,1,Yes
2022-12-21,1104,1,4,2,Yes
2023-02-15,1105,1,4,1,No
2023-01-31,1106,2,3,3,Yes
2022-10-18,1107,4,5,1,Yes
2023-07-24,1108,4,5,3,Yes
2022-10-16,1109,4,5,4,No
2023-02-23,1110,1,1,4,Yes
2023-05-11,1111,4,1,1,No
2023-07-06,1112,4,1,1,Yes
2023-04-09,1113,3,3,5,Yes
2023-03-03,1114,1,3,3,Yes
2023-03-11,1115,4,1,3,Yes
2022-12-16,1116,3,4,4,Yes
2023-07-29,1117,4,5,1,No
2023-02-22,1118,1,5,3,No
2023-04-16,1119,4,4,5,No
2023-06-05,1120,3,3,4,Yes
2023-01-21,1121,1,1,4,Yes
2022-12-04,1122,2,1,2,No
2023-06-10,1123,2,3,1,Yes
2023-02-27,1124,3,2,3,No
2023-03-17,1125,4,3,4,Yes
2023-04-23,1126,3,3,2,No
2023-01-27,1127,5,1,3,Yes
2023-02-18,1128,4,2,4,No
2022-10-31,1129,1,1,1,No
2023-05-07,1130,1,5,4,Yes
2023-05-11,1131,4,4,4,Yes
2023-07-15,1132,1,5,5,No
2023-06-15,1133,1,2,4,No
2022-12-29,1134,4,1,2,No
2023-02-23,1135,5,4,4,Yes
2023-04-09,1136,2,5,2,Yes
2022-11-12,1137,3,3,5,Yes
2022-10-19,1138,4,5,1,No
2022-08-27,1139,2,4,2,No
2023-05-04,1140,5,3,2,Yes
2022-12-26,1141,5,5,2,Yes
2023-06-21,1142,4,4,4,No
2022-12-13,1143,2,4,2,No
2022-11-03,1144,5,3,2,Yes
2022-10-24,1145,3,3,4,Yes
2022-09-21,1146,3,2,2,No
2023-03-19,1147,1,3,5,No
2023-04-02,1148,4,1,3,Yes
2022-11-03,1149,3,2,5,Yes
2022-12-28,1150,3,4,4,Yes
2022-12-12,1151,5,3,1,Yes
2022-12-14,1152,1,1,5,No
2023-02-28,1153,3,4,2,No
2023-06-09,1154,1,3,2,No
2022-08-25,1155,2,3,1,No
2023-05-12,1156,1,5,2,No
2023-06-06,1157,1,4,2,Yes
2023-03-17,1158,2,4,4,No
2023-02-18,1159,1,2,4,No
2022-08-20,1160,4,2,3,No
2023-04-09,1161,3,4,4,Yes
2022-10-05,1162,3,3,2,Yes
2022-12-14,1163,1,2,3,No
2022-10-23,1164,5,5,5,Yes
2023-01-09,1165,3,3,1,Yes
2023-02-27,1166,2,1,4,Yes
2023-05-22,1167,2,3,4,Yes
2022-08-28,1168,2,2,2,No
2023-08-03,1169,1,3,2,Yes
2023-02-05,1170,1,5,4,No
2023-06-24,1171,4,1,4,Yes
2023-06-19,1172,1,3,2,No
2023-06-16,1173,5,5,2,No
2023-03-06,1174,2,1,5,Yes
2023-04-22,1175,2,1,2,No
2022-10-17,1176,2,2,5,No
2022-08-12,1177,2,2,5,Yes
2023-05-03,1178,2,1,2,No
2023-07-10,1179,3,5,1,Yes
2023-05-15,1180,4,3,1,Yes
2023-07-05,1181,5,5,4,Yes
2022-08-25,1182,2,4,5,Yes
2023-03-07,1183,4,5,5,Yes
2022-10-03,1184,1,3,1,Yes
2022-08-13,1185,1,2,4,Yes
2023-05-12,1186,3,3,5,Yes
2022-11-19,1187,4,1,1,Yes
2023-07-16,1188,4,1,1,No
2023-07-19,1189,5,5,3,No
2023-04-07,1190,2,5,3,No
2023-07-13,1191,4,4,4,Yes
2022-12-24,1192,3,1,1,Yes
2022-08-15,1193,5,2,3,No
2022-12-04,1194,5,4,2,No
2023-01-30,1195,5,3,2,No
2023-06-02,1196,4,5,4,Yes
2022-11-09,1197,3,5,4,Yes
2022-12-12,1198,3,2,2,Yes
2023-06-27,1199,3,3,3,Yes
2023-04-19,1200,4,5,1,Yes
2023-02-23,1201,2,4,4,No
2022-08-14,1202,1,3,2,No
2022-10-03,1203,3,5,3,Yes
2023-06-22,1204,1,4,3,Yes
2023-04-07,1205,2,1,2,Yes
2022-10-17,1206,3,4,2,Yes
2022-08-06,1207,2,1,2,Yes
2022-08-18,1208,5,1,5,No
2023-05-28,1209,1,3,1,No
2022-10-24,1210,4,5,1,Yes
2023-03-16,1211,3,3,1,Yes
2023-01-31,1212,4,5,4,Yes
2022-09-28,1213,1,2,4,Yes
2023-06-02,1214,1,5,3,Yes
2022-10-25,1215,2,1,5,Yes
2022-09-09,1216,4,1,1,No
2022-08-23,1217,5,5,1,No
2023-02-27,1218,2,3,1,Yes
2023-07-17,1219,2,2,2,No
2023-05-08,1220,5,2,4,No
2022-08-17,1221,5,5,3,No
2023-03-31,1222,5,2,1,No
2023-05-07,1223,4,1,4,Yes
2023-05-20,1224,4,2,3,No
2022-11-05,1225,1,2,4,No
2023-04-04,1226,4,5,4,No
2022-12-12,1227,1,2,2,No
2023-01-21,1228,2,5,3,Yes
2023-05-20,1229,4,2,5,Yes
2022-11-30,1230,5,4,4,Yes
2023-03-13,1231,2,2,1,Yes
2022-08-22,1232,2,1,5,Yes
2023-05-01,1233,5,5,3,Yes
2022-12-11,1234,4,1,5,No
2023-03-23,1235,5,5,3,Yes
2023-07-25,1236,1,4,1,No
2023-07-11,1237,4,3,1,No
2022-12-29,1238,1,3,3,No
2022-10-07,1239,4,5,5,Yes
2023-08-02,1240,1,4,3,Yes
2023-01-16,1241,4,4,3,No
2023-07-28,1242,4,4,1,Yes
2023-05-04,1243,5,2,3,Yes
2022-08-17,1244,2,3,5,Yes
2022-09-23,1245,3,5,5,Yes
2023-01-12,1246,4,3,2,No
2022-11-13,1247,2,4,5,Yes
2022-12-05,1248,5,3,2,No
2022-12-22,1249,2,4,2,No
2023-04-26,1250,4,5,1,Yes
2022-12-03,1251,5,5,3,Yes
2023-06-10,1252,2,3,2,No
2023-01-10,1253,2,4,2,No
2023-06-18,1254,3,1,5,Yes
2022-11-03,1255,3,1,1,No
2022-10-24,1256,4,4,2,Yes
2023-07-19,1257,2,1,1,Yes
2023-04-16,1258,3,5,4,Yes
2022-10-17,1259,1,3,4,Yes
2023-02-21,1260,5,2,5,Yes
2023-07-13,1261,2,5,4,Yes
2022-12-16,1262,3,4,1,Yes
2023-01-24,1263,4,5,3,Yes
2023-04-21,1264,3,5,4,Yes
2023-06-28,1265,4,2,5,No
2023-03-29,1266,1,3,1,No
2023-04-25,1267,4,1,5,No
2023-04-18,1268,2,1,2,Yes
2022-09-19,1269,1,2,4,Yes
2023-03-16,1270,5,5,1,No
2023-01-13,1271,3,1,5,Yes
2022-10-31,1272,4,2,3,No
2023-02-26,1273,1,4,2,No
2023-03-19,1274,2,1,5,Yes
2022-08-19,1275,2,5,3,No
2023-06-01,1276,1,4,5,Yes
2023-08-01,1277,4,3,3,Yes
2023-05-28,1278,2,4,5,Yes
2022-10-11,1279,3,3,5,Yes
2022-11-12,1280,3,2,2,Yes
2023-05-31,1281,4,2,1,No
2022-10-04,1282,3,3,1,Yes
2022-11-19,1283,2,1,2,Yes
2022-11-24,1284,5,1,5,Yes
2023-07-05,1285,3,2,2,Yes
2023-04-13,1286,1,5,1,No
2023-07-30,1287,3,5,2,No
2023-07-15,1288,2,4,5,No
2023-05-09,1289,5,3,1,Yes
2023-04-12,1290,5,4,2,Yes
2023-05-24,1291,5,4,5,No
2023-03-21,1292,1,4,3,Yes
2023-03-15,1293,2,3,2,Yes
2023-08-03,1294,5,4,2,No
2023-02-18,1295,3,3,3,Yes
2023-02-07,1296,1,1,5,No
2022-08-10,1297,2,4,4,No
2022-12-06,1298,1,2,1,No
2023-07-02,1299,1,2,2,Yes
2022-10-07,1300,1,3,1,Yes
2023-01-21,1301,1,4,2,No
2023-06-04,1302,1,2,4,No
2023-01-01,1303,5,3,5,Yes
2023-04-11,1304,3,5,1,Yes
2023-02-22,1305,2,5,2,No
2022-11-12,1306,1,3,5,Yes
2022-11-18,1307,1,5,1,No
2022-08-28,1308,4,5,2,Yes
2022-09-07,1309,1,1,3,Yes
2023-04-24,1310,3,4,3,Yes
2023-03-09,1311,5,2,3,No
2022-09-25,1312,2,5,2,Yes
2023-07-18,1313,5,4,1,Yes
2023-03-28,1314,5,5,3,Yes
2022-11-29,1315,5,1,1,Yes
2023-07-20,1316,3,4,3,No
2023-05-05,1317,4,2,2,No
2023-05-21,1318,5,4,2,No
2023-06-14,1319,4,2,5,No
2023-01-12,1320,5,1,5,Yes
2023-04-30,1321,1,5,5,No
2023-01-17,1322,1,5,2,No
2023-05-02,1323,5,1,5,Yes
2022-11-16,1324,5,3,3,Yes
2022-12-17,1325,1,5,3,Yes
2023-03-04,1326,5,3,1,No
2023-03-23,1327,5,3,4,Yes
2022-11-07,1328,1,4,3,No
