Date,EmpID,ProgramKey,TrainingType,Outcome,Days,Cost,InEmployment
2022-09-21,1001,2,Internal,Failed,4,510.83,Yes
2023-07-19,1002,3,Internal,Failed,2,582.37,No
2023-02-24,1003,5,Internal,Incomplete,4,777.06,No
2023-01-12,1004,2,Internal,Completed,2,824.3,No
2023-05-12,1005,1,External,Passed,4,145.99,Yes
2023-05-08,1006,4,Internal,Failed,2,838.07,No
2023-05-14,1007,3,External,Failed,2,667.32,No
2023-08-02,1008,5,External,Incomplete,2,758.18,No
2022-08-21,1009,2,Internal,Incomplete,2,101.21,Yes
2022-08-19,1010,1,External,Incomplete,5,332.25,No
2022-11-06,1011,1,Internal,Completed,1,803.98,Yes
2023-03-28,1012,5,External,Failed,3,887.08,No
2023-04-08,1013,4,External,Incomplete,2,657.85,Yes
2023-02-21,1014,2,External,Incomplete,2,895.49,Yes
2023-05-13,1015,3,External,Passed,1,539.0,Yes
2023-04-30,1016,1,External,Completed,2,606.68,No
2022-11-14,1017,5,External,Passed,3,265.73,No
2023-03-25,1018,4,Internal,Incomplete,2,673.29,No
2022-10-26,1019,4,External,Passed,5,436.98,Yes
2022-12-30,1020,5,External,Passed,4,578.58,No
2023-03-10,1021,5,Internal,Failed,1,647.16,Yes
2023-01-12,1022,4,Internal,Failed,1,664.23,Yes
2022-10-19,1023,4,Internal,Failed,4,893.07,No
2022-10-11,1024,4,External,Completed,5,868.98,No
2023-01-13,1025,4,Internal,Incomplete,5,761.95,No
2023-04-17,1026,1,External,Incomplete,4,431.57,No
2023-03-16,1027,1,External,Incomplete,4,357.57,No
2023-01-19,1028,5,Internal,Incomplete,3,804.06,No
2023-02-25,1029,4,Internal,Failed,5,729.41,Yes
2023-01-04,1030,1,Internal,Completed,1,169.46,Yes
2022-12-26,1031,1,Internal,Failed,1,833.28,Yes
2022-12-07,1032,5,External,Completed,3,482.23,No
2023-06-20,1033,1,Internal,Incomplete,4,169.85,Yes
2022-11-10,1034,3,Internal,Failed,1,570.62,Yes
2023-03-11,1035,1,Internal,Completed,2,724.14,Yes
2022-12-10,1036,2,External,Failed,3,305.98,No
2022-10-25,1037,3,Internal,Failed,2,646.76,No
2023-07-28,1038,2,External,Failed,2,516.89,Yes
2023-01-24,1039,2,External,Passed,5,520.41,No
2022-12-01,1040,5,Internal,Completed,5,712.84,Yes
2023-03-07,1041,2,Internal,Completed,3,871.12,No
2022-10-05,1042,4,Internal,Passed,1,228.11,Yes
